Cluster_ID,Ground_Truth,N_Genes,Std_UseAutoContext,Std_Answer,Std_Confidence,Std_Reasoning,Std_PredText_ForScoring,Std_Genes,Cur_UseAutoContext,Cur_Answer,Cur_Confidence,Cur_Reasoning,Cur_PredText_ForScoring,Cur_Genes,Model_Name,Scoring_Text_Mode,Std_Score,Cur_Score,Score_Diff,Std_Score_pct,Cur_Score_pct,GT_Display,Delta_pct
CD8.c02.Tm.IL7R,CD8_EffectorMemory,50,False,Activated T cell,High,"The gene list contains strong markers for T-cell lineage (IL7R, CXCR4, CYTIP) combined with a robust signature of early activation, including immediate-early genes (FOS, FOSB), activation-induced negative regulators (ZFP36, DUSP1, TNFAIP3), and the classic early activation marker CD69.",Activated T cell,ZFP36L2|CXCR4|BTG1|ZFP36|ANXA1|IL7R|TSC22D3|SARAF|GLIPR1|LEPROTL1|KLF6|PTGER4|RGCC|FAM129A|TNFAIP3|FOSB|MYADM|CYTIP|RPS3A|SAMSN1|YPEL5|CCNH|CD55|LMNA|PARP8|SRGN|FOS|AC090498.1|AIM1|RPL30|RPS27|PNRC1|AHNAK|ELF1|EIF1|GPR183|TOB1|DUSP1|VIM|RPS28|PLK3|TOMM7|FTH1|RPS3|MCL1|EZR|SCML4|SYTL3|EML4|CD69,True,CD8+ Tissue-Resident Memory T cell,High,"The gene list shows a strong signature for tissue-resident memory (TRM) T cells, including the key transcription factor ZNF683 (Hobit) and surface markers CD69 and CXCR6. The cell is also highly activated, expressing immediate early genes (NR4A2, NR4A3, DUSP1) and cytotoxic effector chemokines (XCL1, XCL2, CCL4), which is characteristic of this subtype.",CD8+ Tissue-Resident Memory T cell,ZFP36L2|ZFP36|ANXA1|IL7R|TSC22D3|KLF6|RGCC|CD55|LMNA|GPR183|TOB1|DUSP1|VIM|CD69|CCL4|CITED2|TUBA4A|PIK3R1|SLC2A3|NR4A2|XCL1|PPP1R15A|ZNF683|RGS1|REL|XCL2|GLUL|TAGAP|CDKN1A|PFKFB3|SPRY1|AREG|ZNF331|PERP|SAT1|RASGEF1B|TXNIP|H2AFX|NR4A3|SMIM3|MYBL1|NFKBIA|LGALS3|LSR|TNFSF8|CXCR6|KLRC1|BTG2|CAPG|CLU,models/gemini-2.5-pro,cell_type_primary,1.0,0.7,-0.30000000000000004,100.0,70.0,EffMem,-30.0
CD8.c03.Tm.RPS12,CD8_EffectorMemory,50,False,GZMK+ CD8+ T cell,High,"The gene list is strongly characterized by key cytotoxic lymphocyte markers, particularly GZMK and CCL5. This signature is classic for a subset of effector CD8+ T cells. The list also includes the early activation marker CD69 and a very high abundance of ribosomal protein genes (RPL/RPS), indicating a highly activated and translationally active state.",GZMK+ CD8+ T cell,RPL30|FAU|RPS15A|RPL39|RPL35A|RPL28|RPLP2|RPL10|RPS8|MALAT1|RPS27A|RPL34|RPL32|RPS24|RPS15|RPL7A|RPS14|RPS13|RPS28|RPL19|RPS7|RPS25|AC090498.1|RPS3|RPS21|RPS12|RPL18|RPS27|RPL11|CCL5|GZMK|CCL4|FTL|RPL23A|RPL36|DNAJB1|CCL4L2|RPL12|RPL18A|RPL24|RPS23|RPS26|HSPA1B|RPS10|CD69|RPL14|EEF1D|RPS3A|RPL31|TXNIP,True,GZMK+ T cell,High,"Expression of GZMK is a canonical marker for a distinct subset of cytotoxic T cells. The co-expression of chemokines like CCL4 further supports an activated, effector phenotype.",GZMK+ T cell,GZMK|CCL4|CCL4L2|CCL3L3|NXPH4,models/gemini-2.5-pro,cell_type_primary,0.7,0.7,0.0,70.0,70.0,EffMem,0.0
CD8.c04.Tm.CD52,CD8_EffectorMemory,50,False,CD8+ Effector Memory T cell,High,"The gene list includes canonical T cell markers (CD3E, TRAC, CD2), the CD8 co-receptor (CD8B), strong cytotoxic effector molecules (GZMH, GZMA, CCL5), and markers associated with effector memory phenotypes (ZNF683, S100A4).",CD8+ Effector Memory T cell,CD52|TXNIP|SH3BGRL3|CCL5|CD99|CD2|MALAT1|GZMH|C9orf142|S100A4|IL32|GIMAP7|ACTB|MYL12A|ZNF683|PTPRCAP|MT-ND2|PPP1R18|CD3E|TBC1D10C|EMP3|LCP2|GZMA|CLIC1|ZYX|RAC2|ACTG1|GIMAP1|TRAF3IP3|S100A6|TMSB4X|ITM2B|CTSD|HOPX|GIMAP4|MT-CYB|EVL|CISH|ACAP1|HCST|B2M|LINC00861|CD8B|IFITM2|RCSD1|MT-CO1|LAT|TRAC|PFN1|S100A10,True,CD8+ Tissue-Resident Memory T cell,High,"The gene list shows a strong signature for tissue-resident memory T cells, marked by the key transcription factors ZNF683 (Hobit) and HOPX. The cell also displays a potent cytotoxic effector profile with high expression of GZMH, GZMA, NKG7, FGFBP2, and the transcription factor EOMES, alongside effector chemokines like CCL4, XCL1, and XCL2.",CD8+ Tissue-Resident Memory T cell,TXNIP|GZMH|S100A4|ZNF683|GZMA|HOPX|CISH|TRAC|ITM2C|CCL4|PPP1CA|C12orf75|LGALS1|LIME1|CCL4L2|XCL2|CXCR3|APOBEC3H|NKG7|TNF|EOMES|KLRD1|XCL1|MYBL1|DUSP6|TRGC2|FASLG|RP11-798M19.6|KCNQ1OT1|MS4A1|FGFBP2|CES1|CD9,models/gemini-2.5-pro,cell_type_primary,1.0,0.7,-0.30000000000000004,100.0,70.0,EffMem,-30.0
CD8.c05.Tem.CXCR5,CD8_EffectorMemory,50,False,CD8+ Effector Memory T cell,High,"The gene list shows a strong signature for cytotoxic T cells, with high expression of granzymes (GZMA, GZMK, GZMM) and CST7. The presence of memory marker CD44 and terminal effector marker KLRG1 points specifically to an effector memory phenotype. Additionally, activation markers such as NR4A2, FOSB, and upregulated MHC class II genes (e.g., HLA-DRB1) confirm an activated state.",CD8+ Effector Memory T cell,GZMK|CST7|DUSP2|CD74|CXCR4|RPL13|CMC1|RPL23A|YPEL5|TUBA4A|RPS15A|CLDND1|H3F3B|GZMM|CD44|SH2D1A|EIF1|RPS25|NR4A2|BTG1|DNAJB1|MARCKSL1|HLA-DQA1|KLRG1|TRAT1|RNF19A|RPL28|HLA-DPA1|CCL4|PIK3R1|ENC1|RPL3|HLA-DPB1|HLA-A|CRTAM|RPL10|DNAJA1|BRD2|RPS3|HLA-DRB1|NFATC2|FOSB|AMD1|CD5|GZMA|TMEM2|TC2N|RPL27A|CALM2|TNFSF9,True,GZMK+ CD8+ T cell,High,"The gene list shows a strong signature for cytotoxic T cells (GZMK, GZMA, KLRG1, EOMES). The subtype is further specified by the prominent expression of GZMK, activation/exhaustion-associated transcription factors (NR4A1, NR4A2, NR4A3), and a strong MHC class II signature (HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DQB1, CD74), which are hallmarks of this specific activated effector/memory subset.",GZMK+ CD8+ T cell,GZMK|CD74|CMC1|TUBA4A|SH2D1A|NR4A2|DNAJB1|HLA-DQA1|KLRG1|TRAT1|HLA-DPA1|CCL4|PIK3R1|ENC1|CRTAM|DNAJA1|HLA-DRB1|GZMA|TNFSF9|COTL1|ITM2C|ITM2A|GPR183|CD27|RGCC|DKK3|EOMES|DUSP1|NEU1|BCAS2|BTG2|IER2|CNN2|TAGAP|CCR7|NR4A3|HLA-DRA|HLA-DQB1|CALR|CCL4L2|CCL3L3|ARL6IP1|NR4A1|ZNF331|CCDC109B|TRMO|PPP1R15A|PECAM1|KLF2|HMGA1,models/gemini-2.5-pro,cell_type_primary,1.0,0.7,-0.30000000000000004,100.0,70.0,EffMem,-30.0
CD8.c06.Tem.GZMK,CD8_EffectorMemory,50,False,CD8+ Effector Memory T cell,High,"The gene list includes canonical CD8+ T cell markers (CD8A, CD8B), a strong cytotoxic signature (GZMA, GZMK, GZMH, NKG7, CCL5), and markers of chronic activation such as the full MHC Class II complex (HLA-DRA, HLA-DRB1, HLA-DPA1, HLA-DPB1, CD74), which is characteristic of antigen-experienced effector memory T cells.",CD8+ Effector Memory T cell,GZMK|HLA-DPA1|HLA-DPB1|CD74|HLA-DRB1|GZMA|HLA-DRB5|CCL5|HLA-DRA|HLA-DQA1|COTL1|CST7|GZMH|HLA-A|ARHGDIB|DUSP2|HLA-DQB1|CD8A|ITM2A|SUB1|TRAT1|ITM2C|PIK3R1|CORO1A|CCL4|RNF19A|CLIC1|ITGB2|RARRES3|APOBEC3G|PTPRCAP|IL32|MCL1|CNN2|CRTAM|TMSB4X|SH2D1A|TERF2IP|SELPLG|CD44|LEPROTL1|NKG7|CLEC2B|CD8B|GYG1|RGCC|ANXA1|HLA-C|CD27|YWHAB,True,Activated CD8+ T cell,High,"The cell expresses canonical CD8+ T cell markers (CD8A, CD8B) and potent cytotoxic/effector molecules (GZMA, GZMH, GZMK, NKG7). The strong co-expression of a full suite of MHC Class II genes (e.g., HLA-DRA, HLA-DRB1, HLA-DQA1, CD74) is a hallmark of T cell activation.",Activated CD8+ T cell,GZMK|HLA-DPA1|CD74|HLA-DRB1|GZMA|HLA-DRB5|HLA-DRA|HLA-DQA1|COTL1|GZMH|HLA-DQB1|CD8A|ITM2A|TRAT1|ITM2C|PIK3R1|CORO1A|CCL4|CNN2|CRTAM|SH2D1A|NKG7|CD8B|GYG1|RGCC|ANXA1|CD27|HLA-DMA|IDH2|CFL1|DUSP4|ANXA5|C12orf75|APOBEC3H|TRBC2|CALM3|KLRG1|CXCR3|LIME1|GBP5|TUBA4A|PPP1CA|TESC|ICOS|LYST|CCL4L2|PSMB10|ZNF331|RGS1|ENC1,models/gemini-2.5-pro,cell_type_primary,1.0,1.0,0.0,100.0,100.0,EffMem,0.0
CD8.c07.Temra.CX3CR1,CD8_Effector,50,False,Mature NK cell,High,"The gene list shows strong expression of canonical NK cell markers (FGFBP2, NKG7, FCGR3A) and a potent cytotoxic signature (GZMH, PRF1, GNLY, GZMB, CST7), while lacking key T-cell lineage markers like CD3 or CD8.",Mature NK cell,FGFBP2|NKG7|GZMH|PRF1|FCGR3A|KLRD1|ITGB2|GNLY|GZMB|FLNA|TMSB10|CST7|S1PR5|KLF3|SPON2|ADGRG1|HLA-E|AES|SELPLG|HLA-C|S100A4|HLA-B|RPL21|PRSS23|LITAF|BIN2|KLRG1|CALM1|GZMM|P2RY8|ITGB1|RPL3|CTSW|ZEB2|FCRL6|KLF2|B2M|PLAC8|IER2|IFITM1|TPST2|DSTN|RAP1B|ARPC2|PLEK|IFITM2|EFHD2|C1orf21|TGFB1|RPL26,True,CD8+ Temra T cell,High,"The cell expresses a strong cytotoxic signature (GZMB, GZMH, PRF1, GNLY, NKG7), T-cell identity (TRBC1), and markers of terminal differentiation (KLRG1, CX3CR1). The presence of NK-associated markers like FCGR3A and KLRD1 is characteristic of this highly differentiated effector subset.",CD8+ Temra T cell,FGFBP2|NKG7|GZMH|PRF1|FCGR3A|KLRD1|GNLY|GZMB|S1PR5|KLF3|SPON2|S100A4|PRSS23|KLRG1|P2RY8|ITGB1|CTSW|KLF2|PLAC8|IER2|ARPC2|PLEK|C1orf21|BHLHE40|CX3CR1|C12orf75|DDIT4|RASA3|CLIC3|S1PR1|ENC1|TUBA4A|LDHA|YBX1|YWHAQ|GLUL|CFL1|UPP1|ANXA1|KLRF1|NR4A3|CD55|PPP1CA|LYN|TRBC1|UCP2|HOPX|LGALS1|SYNGR1|BCL3,models/gemini-2.5-pro,cell_type_primary,0.0,1.0,1.0,0.0,100.0,Effector,100.0
CD8.c08.Tk.TYROBP,CD8_Effector,50,False,Vδ1 gamma-delta T cell,High,"The presence of the T-cell receptor gene TRDV1 definitively identifies the cell as a Vδ1 gamma-delta T cell. This is supported by a strong NK-like cytotoxic signature, including expression of NKG7, PRF1, GZMM, and multiple KLR family genes (KLRD1, KLRF1, KLRG1).",Vδ1 gamma-delta T cell,KLRD1|CST7|PIK3R1|CMC1|TYROBP|LITAF|NKG7|DUSP2|FAM177A1|PRF1|RPS6|KLRF1|TUBA4A|ISG20|RPL3|RPS3|GZMM|AOAH|EEF1A1|HLA-B|RPL27A|RPS14|CALM1|KLRG1|PLAC8|ZFP36|IER2|RPL8|APMAP|S1PR5|FCGR3A|RPS12|MT-ND3|TGFB1|RPL21|MT-CO3|MT-ATP8|SH2D2A|FYN|KLRC3|TMEM2|IFNGR1|RPS3A|RNF125|SYTL3|LPCAT1|RPL10|IFITM2|MT-CO2|TRDV1,True,CD8+ Temra T cell,High,"The gene list shows a classic cytotoxic signature (PRF1, GZMB, GNLY, NKG7) combined with markers of terminal differentiation (KLRG1). The co-expression of a broad array of NK-associated receptors (KLRD1, KLRF1, KLRC2/3, KIR2DL3, KIR3DL1/2, NCR1, FCGR3A) within a T cell lineage is the hallmark of CD8+ Terminally Differentiated Effector Memory (Temra) T cells.",CD8+ Temra T cell,KLRD1|PIK3R1|CMC1|TYROBP|NKG7|PRF1|KLRF1|TUBA4A|KLRG1|PLAC8|ZFP36|IER2|S1PR5|FCGR3A|KLRC3|KIR2DL3|NR4A2|ENC1|C1orf21|ZFP36L2|DDIT4|GNLY|KIR3DL1|KIR3DL2|NR4A3|KLF3|PLCG2|HOPX|NCR1|AREG|XCL2|KLF2|CCL4|NCR3|CRTAM|CTSW|ITPRIP|PLEK|GZMH|BTG2|DUSP1|ZNF331|GZMB|RP11-277P12.6|CD160|KLRC2|LMNA|KLRB1|YBX3|CHMP1B,models/gemini-2.5-pro,cell_type_primary,0.7,1.0,0.30000000000000004,70.0,100.0,Effector,30.0
CD8.c09.Tk.KIR2DL4,CD8_Effector,50,False,Effector NK cell,High,"The gene list shows strong expression of canonical NK cell markers (KLRD1, KLRC2, KLRC3, KIR2DL3, KIR3DL2), cytotoxicity-related genes (GNLY, CTSW, SRGN), and activation markers/chemokines (FOS, XCL1, CCL4, NR4A2).",Effector NK cell,KLRD1|TYROBP|PIK3R1|XCL1|CD7|KLRC3|XCL2|LITAF|ZFP36|CTSW|SRGN|GNLY|KLRC2|AREG|KIR2DL3|CD63|IFITM2|LMNA|NR4A2|HOPX|ZFP36L2|KIR2DL4|DUSP2|MCL1|SLA2|IDI1|KIR3DL2|FOS|FOSL2|VPS37B|SYTL3|SCML4|REL|TUBA4A|RNF125|GLUL|FYN|FAM177A1|MATK|NR4A3|MT-ND4|SLC16A3|TSC22D3|TAGLN2|AOAH|ADGRE5|CCL4|CREM|ARHGAP9|IER2,True,NK-like T cell,High,"The cell expresses T cell lineage markers (TRBC1, CD7) alongside a strong signature of cytotoxicity (GNLY, PRF1, CTSW) and a comprehensive suite of NK cell-associated receptors, including KLRs (KLRD1, KLRC2, KLRC3), KIRs (KIR2DL3, KIR3DL1, KIR3DL2), and other NK markers (NCAM1, NCR3, CD160).",NK-like T cell,KLRD1|TYROBP|PIK3R1|XCL1|CD7|KLRC3|XCL2|ZFP36|CTSW|GNLY|KLRC2|AREG|KIR2DL3|CD63|LMNA|NR4A2|HOPX|ZFP36L2|KIR2DL4|KIR3DL2|REL|TUBA4A|GLUL|NR4A3|SLC16A3|TSC22D3|CCL4|IER2|RP11-277P12.6|LYN|PRF1|BTG2|PLCG2|MAP3K8|NCR3|DDIT4|IL2RB|LGALS1|KIR3DL1|ZNF331|CD300A|PDE4A|GSTP1|RANBP2|RP11-291B21.2|CDKN1A|CD160|LAT2|NCAM1|TRBC1,models/gemini-2.5-pro,cell_type_primary,0.0,0.7,0.7,0.0,70.0,Effector,70.0
CD8.c10.Trm.ZNF683,CD8_EffectorMemory,50,False,Tissue-Resident Memory T cell,High,"The gene list includes a canonical signature for Tissue-Resident Memory T cells (TRM), including the key transcription factors ZNF683 (Hobit) and HOPX, and surface markers ITGA1 (CD49a) and CXCR6.",Tissue-Resident Memory T cell,TMSB4X|ARHGDIB|ZFP36L2|VIM|CAPG|CD52|HOPX|S100A4|SH3BGRL3|LDLRAD4|ANXA1|OSTF1|ZNF683|ACTB|RGCC|SAMSN1|ZFP36|ITGA1|S100A6|GLIPR1|XCL1|RAC2|PTGER4|LGALS3|PFKFB3|GPR183|CXCR4|IL32|TOB1|CD7|ANXA2|ALOX5AP|CLIC1|GAPDH|FAM46C|MYL12A|MCL1|CXCR6|CD55|MYL12B|LEPROTL1|PGK1|CD53|CFL1|ARHGAP9|CD2|LCP1|CKLF|MYADM|FTH1,True,CD8+ Tissue-Resident Memory T cell,High,"The gene list includes canonical CD8+ T cell markers (CD8A, CD8B, CD3E), key tissue-resident memory (TRM) markers such as the integrin ITGAE (CD103) and the transcription factor ZNF683 (Hobit), and cytotoxic effector molecules (GZMA, GZMB).",CD8+ Tissue-Resident Memory T cell,ZFP36L2|VIM|CAPG|HOPX|S100A4|LDLRAD4|ANXA1|ZNF683|RGCC|ZFP36|XCL1|LGALS3|PFKFB3|GPR183|TOB1|CD7|ANXA2|CXCR6|CD55|CFL1|KLRC1|ITM2C|ITGAE|CRIP1|ACTG1|AC092580.4|XCL2|CNN2|SMIM3|GLUL|CITED2|CDKN1A|MAP3K8|REL|CCL4|GZMA|LGALS1|LDHA|CXCR3|ABRACL|FKBP1A|GZMB|SPRY1|CD8A|CD8B|DDIT4|CD3E|ATP1B3|CORO1A|CD63,models/gemini-2.5-pro,cell_type_primary,0.7,0.7,0.0,70.0,70.0,EffMem,0.0
CD8.c11.Tex.PDCD1,CD8_Exhausted,50,False,CD8+ Exhausted T cell,High,"The gene list shows strong expression of the CD8+ T cell lineage marker CD8A, along with a canonical signature of T cell exhaustion, including multiple co-inhibitory receptors (PDCD1, CTLA4, LAG3, HAVCR2) and the key exhaustion-associated transcription factor TOX. The presence of cytotoxic markers (GZMA, GZMK, NKG7, CST7) and activation markers (TNFRSF9, and numerous HLA class II genes like HLA-DRB1) further solidifies this identification.",CD8+ Exhausted T cell,CD74|CD27|HLA-DRB1|HLA-DQA1|HLA-DRA|DUSP4|HLA-DPA1|GZMK|GZMA|HAVCR2|HLA-DPB1|ITM2A|CCL4L2|LYST|LAG3|NKG7|TNFRSF9|VCAM1|HLA-A|CST7|CCL5|APOBEC3G|CD8A|PTMS|FABP5|PDCD1|HLA-DRB5|HLA-DMA|CD82|TOX|SUB1|NAB1|RGS1|ICOS|PTPRCAP|GALM|FKBP1A|ANXA5|SOD1|RNF19A|APOBEC3C|TRAT1|ZNF331|HNRNPLL|OAZ1|HSP90AA1|HLA-DQB1|CLEC2B|CTLA4|DNAJA1,True,CD8+ Exhausted T cell,High,"The cell expresses key CD8 lineage markers (CD8A, CD8B) and a strong, canonical signature of T cell exhaustion, including multiple inhibitory receptors (PDCD1, LAG3, CTLA4, HAVCR2). Co-expression of cytotoxic markers (GZMA, GZMK, NKG7) and activation/exhaustion-associated markers like CXCL13 and MHC-II genes (HLA-DRB1, HLA-DQA1) further solidifies this classification.",CD8+ Exhausted T cell,CD74|CD27|HLA-DRB1|HLA-DQA1|HLA-DRA|DUSP4|HLA-DPA1|GZMK|GZMA|HAVCR2|ITM2A|CCL4L2|LYST|LAG3|NKG7|TNFRSF9|VCAM1|CD8A|PTMS|PDCD1|HLA-DRB5|HLA-DMA|CD82|NAB1|RGS1|ICOS|FKBP1A|ANXA5|SOD1|APOBEC3C|TRAT1|ZNF331|HLA-DQB1|CTLA4|DNAJA1|CMC1|COTL1|DUSP5|DNAJB1|CARD16|FXYD2|CCL3L3|CXCL13|IFNG|ITM2C|BTG3|MIR155HG|PHLDA1|RAB27A|CD8B,models/gemini-2.5-pro,cell_type_primary,1.0,1.0,0.0,100.0,100.0,Exhausted,0.0
